param,iterations,k,accuracy,f1_score,precision
voisins,3,1,0.2785897205865562,0.27940412885075516,0.28140039888308566
voisins,3,2,0.24556739034694244,0.2452294094936062,0.28526074367477505
voisins,3,3,0.26354249922521084,0.2697869158513096,0.2923762714800618
voisins,3,4,0.29295186520299477,0.29527077726110834,0.3017199219325623
voisins,3,5,0.3087820314156622,0.3037257412729351,0.300647856757294
voisins,3,6,0.3160813610191332,0.30797188119590957,0.3031927245072829
voisins,3,7,0.32209209388813675,0.31195329403422795,0.3071547423258965
voisins,3,8,0.3300438775343762,0.31750644475263373,0.31166027424059856
voisins,3,9,0.33759603307941993,0.3217877541637587,0.31477062737582
voisins,3,10,0.34162493679351463,0.3230456528621801,0.3154837364543174
voisins,3,15,0.3607499959221622,0.3327494366260938,0.32899565610212195
voisins,3,20,0.37392956758608314,0.3387923990755215,0.340956490895513
voisins,3,25,0.38131860962043485,0.3393772371156136,0.34214827679219906
voisins,3,30,0.3859265662974864,0.339078285257114,0.3482207543362164
voisins,3,35,0.3919209878154207,0.3403630058515006,0.35846789876848334
voisins,3,40,0.3950446115451743,0.33960997966704226,0.36594674906906977
voisins,3,45,0.3976870504183861,0.3381283135629787,0.36812661470601665
voisins,3,50,0.4000685076744907,0.3372344341225675,0.3730203192463695
voisins,3,55,0.4012755476536121,0.3353351075173145,0.38517529136384665
voisins,3,60,0.4042034351705352,0.33546939876262155,0.3838351687768406
voisins,3,70,0.40602215081475196,0.3324617849143423,0.3927458003449888
voisins,3,100,0.41024679074167714,0.32550706888055436,0.39855751968600045
voisins,3,200,0.4119921053060825,0.31158402248173894,0.43551232116371424

